rep,dataset,pitype,biastype,site,ncount,scount,truedn,trueds,truednds
1,amine,unequalpi,bias,1,0.00197530864198,0.0167901234568,0.0494122650814,0.685795400033,0.072051030203793
1,amine,unequalpi,bias,2,0.00238683127572,0.0162139917695,0.0920421212524,0.819654123797,0.112293854907995
1,amine,unequalpi,bias,3,0.00304526748971,0.0234567901235,0.0622442922313,0.901951618031,0.0690106774986246
1,amine,unequalpi,bias,4,0.0040329218107,0.0244444444444,0.0789489293562,0.81636285322,0.09670813541405
1,amine,unequalpi,bias,5,0.000329218106996,0.0148148148148,0.0286690793503,0.588508587688,0.0487148020438047
1,amine,unequalpi,bias,6,0.00353909465021,0.0195061728395,0.095665208017,0.726563558386,0.131668051490928
1,amine,unequalpi,bias,7,0.00460905349794,0.0222222222222,0.0495607340803,0.807989242853,0.0613383587946068
1,amine,unequalpi,bias,8,0.000987654320988,0.0148148148148,0.0811741503976,0.838910246293,0.0967614244268616
1,amine,unequalpi,bias,9,0.0104526748971,0.016049382716,0.029839789156,0.818220992281,0.0364691072919236
1,amine,unequalpi,bias,10,0.000329218106996,0.0143209876543,0.0399665598025,0.567094119797,0.0704760610404612
1,amine,unequalpi,bias,11,0.00255144032922,0.00930041152263,0.0692768284205,0.646581613837,0.107143208124016
1,amine,unequalpi,bias,12,0.00304526748971,0.0119341563786,0.129367914836,0.785539435751,0.164686722204239
1,amine,unequalpi,bias,13,0.00329218106996,0.0164609053498,0.172142419245,0.933913619268,0.184323705847576
1,amine,unequalpi,bias,14,0.0136625514403,0.0153086419753,0.140926790801,0.765013014112,0.184214893343459
1,amine,unequalpi,bias,15,0.0170644718793,0.0162414266118,0.137476404626,0.931180687803,0.147636657876097
1,amine,unequalpi,bias,16,0.01670781893,0.0107818930041,0.178409604001,0.718068133973,0.248457765440554
1,amine,unequalpi,bias,17,0.00683127572016,0.0140740740741,0.187276596262,0.810589393586,0.231037560747618
1,amine,unequalpi,bias,18,0.00510288065844,0.0134979423868,0.178084972678,0.884035566082,0.201445484221029
1,amine,unequalpi,bias,19,0.00716049382716,0.0158847736626,0.1677271578,0.915239374015,0.183260426246971
1,amine,unequalpi,bias,20,0.00378600823045,0.0111934156379,0.188369639423,0.798613908226,0.235870722363745
1,amine,unequalpi,bias,21,0.0186008230453,0.00971193415638,0.228017560642,0.787533274917,0.289533874827107
1,amine,unequalpi,bias,22,0.00724279835391,0.0167901234568,0.21860519413,0.830776727718,0.263133507278749
1,amine,unequalpi,bias,23,0.0175034293553,0.0134430727023,0.259928446367,0.79507182261,0.32692448527949
1,amine,unequalpi,bias,24,0.00732510288066,0.0114403292181,0.211379626119,0.691826804519,0.305538358355404
1,amine,unequalpi,bias,25,0.0202469135802,0.0103703703704,0.313690532201,0.829492608041,0.378171582435
1,amine,unequalpi,bias,26,0.021975308642,0.0144032921811,0.215669796169,0.816001246232,0.264300817143216
1,amine,unequalpi,bias,27,0.0259259259259,0.00971193415638,0.210474447171,0.68423102889,0.307607282166733
1,amine,unequalpi,bias,28,0.00485596707819,0.0144032921811,0.319011451233,0.882146731045,0.361630826262991
1,amine,unequalpi,bias,29,0.0129218106996,0.0185185185185,0.23041367283,0.915889112167,0.251573765611035
1,amine,unequalpi,bias,30,0.00551440329218,0.0144032921811,0.258219063652,0.873610879821,0.295576748889515
1,amine,unequalpi,bias,31,0.0132510288066,0.00880658436214,0.231329513177,0.660952692117,0.349994055453595
1,amine,unequalpi,bias,32,0.00732510288066,0.0145679012346,0.220638821535,0.742947819581,0.296977547709116
1,amine,unequalpi,bias,33,0.0231275720165,0.016378600823,0.27407941809,0.944462064338,0.290196322794722
1,amine,unequalpi,bias,34,0.0282304526749,0.0153909465021,0.34685117863,0.925239794471,0.374877065062155
1,amine,unequalpi,bias,35,0.0129218106996,0.0106172839506,0.37673681457,0.740159276715,0.508994248159729
1,amine,unequalpi,bias,36,0.0318244170096,0.0112208504801,0.380392983589,0.865752046535,0.439378670961792
1,amine,unequalpi,bias,37,0.022524005487,0.0133607681756,0.359020316369,0.846689303544,0.424028406720438
1,amine,unequalpi,bias,38,0.00559670781893,0.0139917695473,0.347006821558,0.954102182899,0.363699850789183
1,amine,unequalpi,bias,39,0.0178600823045,0.0129218106996,0.363834785402,0.881362523788,0.4128094576092
1,amine,unequalpi,bias,40,0.0232098765432,0.0108641975309,0.379489721142,0.912333653999,0.415954973795602
1,amine,unequalpi,bias,41,0.00469135802469,0.0145679012346,0.373731852023,0.946982766999,0.394655388721973
1,amine,unequalpi,bias,42,0.0161865569273,0.00899862825789,0.285708629748,0.657871907241,0.434292187587417
1,amine,unequalpi,bias,43,0.0100411522634,0.0115226337449,0.389083554182,0.741051037945,0.525042857049311
1,amine,unequalpi,bias,44,0.0247736625514,0.0178600823045,0.402966394169,0.912427719216,0.441641990573508
1,amine,unequalpi,bias,45,0.0181893004115,0.0122633744856,0.398563512034,0.65855888194,0.605205582923582
1,amine,unequalpi,bias,46,0.0281481481481,0.0141563786008,0.520082856413,0.937013722489,0.555042945402654
1,amine,unequalpi,bias,47,0.0148971193416,0.0101234567901,0.410486665544,0.879081646206,0.466949420813876
1,amine,unequalpi,bias,48,0.0283950617284,0.0151440329218,0.488158987646,0.846286891023,0.576824470311609
1,amine,unequalpi,bias,49,0.0338271604938,0.0133333333333,0.502371275749,0.947065813991,0.530450226718641
1,amine,unequalpi,bias,50,0.0278737997257,0.0157475994513,0.427368934661,0.905572080913,0.471932542609005
1,amine,unequalpi,bias,51,0.0218106995885,0.0122633744856,0.379383894898,0.651687433181,0.582156223338788
1,amine,unequalpi,bias,52,0.0161865569273,0.0113305898491,0.486083168323,0.923810987152,0.526171668320959
1,amine,unequalpi,bias,53,0.0272153635117,0.0116323731139,0.456626308999,0.800415635395,0.570486493275032
1,amine,unequalpi,bias,54,0.0325925925926,0.00905349794239,0.510472075335,0.949101238374,0.537847865639224
1,amine,unequalpi,bias,55,0.0254869684499,0.0133607681756,0.443120320887,0.860928703822,0.514700368241662
1,amine,unequalpi,bias,56,0.0230452674897,0.0142661179698,0.505469074737,0.817825218695,0.618064915561756
1,amine,unequalpi,bias,57,0.0299588477366,0.0111934156379,0.478634258863,0.807780548601,0.59253006239374
1,amine,unequalpi,bias,58,0.0272702331962,0.0131687242798,0.530627525349,0.932822961949,0.568840548522015
1,amine,unequalpi,bias,59,0.0325925925926,0.0111934156379,0.562318456611,0.86041917309,0.653540128111698
1,amine,unequalpi,bias,60,0.0319890260631,0.0154183813443,0.533453034449,0.772905091306,0.690192160007135
1,amine,unequalpi,bias,61,0.0236762688615,0.00990397805213,0.556316740263,0.871136343115,0.638610413467229
1,amine,unequalpi,bias,62,0.0207407407407,0.0131687242798,0.554466724711,0.950944750649,0.583069336396871
1,amine,unequalpi,bias,63,0.0328120713306,0.0135253772291,0.568649925003,0.887975810833,0.640388981395288
1,amine,unequalpi,bias,64,0.0282030178326,0.00916323731139,0.477309881015,0.735061572786,0.649346801256281
1,amine,unequalpi,bias,65,0.0249108367627,0.0117969821674,0.574764374938,0.885889739057,0.648798997886371
1,amine,unequalpi,bias,66,0.0184087791495,0.0179698216735,0.525886691795,0.941923638747,0.558311385511637
1,amine,unequalpi,bias,67,0.0308641975309,0.00658436213992,0.625394207292,0.825823103599,0.757298027345668
1,amine,unequalpi,bias,68,0.0326748971193,0.0130864197531,0.690012193539,0.901689161368,0.765243969986449
1,amine,unequalpi,bias,69,0.0271604938272,0.00921810699588,0.562529722476,0.678328272789,0.829288332864433
1,amine,unequalpi,bias,70,0.038573388203,0.0136899862826,0.661039136397,0.889160740553,0.743441659362824
1,amine,unequalpi,bias,71,0.0312757201646,0.0105349794239,0.607626678494,0.871236754926,0.697430032718959
1,amine,unequalpi,bias,72,0.0152263374486,0.0147325102881,0.57183407965,0.765649138314,0.746861781767572
1,amine,unequalpi,bias,73,0.0262277091907,0.0134430727023,0.622693955653,0.876277733449,0.710612551116753
1,amine,unequalpi,bias,74,0.0268038408779,0.0117146776406,0.635616349774,0.873530509864,0.727640697830874
1,amine,unequalpi,bias,75,0.0145404663923,0.00702331961591,0.536574722377,0.642411615887,0.835250654109255
1,amine,unequalpi,bias,76,0.0180521262003,0.0145130315501,0.660266325479,0.86903482423,0.759769697450298
1,amine,unequalpi,bias,77,0.0243621399177,0.00880658436214,0.503464684815,0.670046180983,0.751388037278842
1,amine,unequalpi,bias,78,0.037366255144,0.0138271604938,0.725379299111,0.907189683905,0.79958944857993
1,amine,unequalpi,bias,79,0.0342386831276,0.0143209876543,0.735397199676,0.912599365629,0.805826989775667
1,amine,unequalpi,bias,80,0.0152812071331,0.0115500685871,0.635041569152,0.750356249129,0.846320091142234
1,amine,unequalpi,bias,81,0.0322633744856,0.0116872427984,0.618331840385,0.693122968408,0.892095441311397
1,amine,unequalpi,bias,82,0.038573388203,0.0126474622771,0.715309891834,0.921456174377,0.776282054127668
1,amine,unequalpi,bias,83,0.0293552812071,0.0116323731139,0.750370062375,0.920811896044,0.814900486840739
1,amine,unequalpi,bias,84,0.0347325102881,0.0144855967078,0.762760044164,0.911165515482,0.837125671684914
1,amine,unequalpi,bias,85,0.0335802469136,0.0155555555556,0.73791123426,0.839586188039,0.878898729841567
1,amine,unequalpi,bias,86,0.0364609053498,0.0153909465021,0.715635652357,0.908442252524,0.787761302789132
1,amine,unequalpi,bias,87,0.0363511659808,0.0138545953361,0.742092996582,0.870428536758,0.852560509270527
1,amine,unequalpi,bias,88,0.0332510288066,0.00921810699588,0.561500648086,0.673885192,0.833228945748967
1,amine,unequalpi,bias,89,0.0342935528121,0.00751714677641,0.621042663056,0.617722344143,1.00537509925694
1,amine,unequalpi,bias,90,0.038244170096,0.0103978052126,0.831769803437,0.859454403129,0.967788169341842
1,amine,unequalpi,bias,91,0.0372839506173,0.0113580246914,0.80138592911,0.875635648534,0.915204777753955
1,amine,unequalpi,bias,92,0.0268312757202,0.00674897119342,0.764147949793,0.773476245551,0.987939777321339
1,amine,unequalpi,bias,93,0.036268861454,0.0134430727023,0.803937745918,0.841813424319,0.955007039200355
1,amine,unequalpi,bias,94,0.0346227709191,0.0172290809328,0.833692875582,0.892616216095,0.933988046093565
1,amine,unequalpi,bias,95,0.0359670781893,0.0108641975309,0.749157111807,0.734240612996,1.02031554581288
1,amine,unequalpi,bias,96,0.0427709190672,0.017146776406,0.801804454738,0.90114623015,0.889760649172927
1,amine,unequalpi,bias,97,0.0282304526749,0.00995884773663,0.759128895279,0.822864096942,0.922544680342892
1,amine,unequalpi,bias,98,0.0341838134431,0.0105075445816,0.80311054367,0.797749738205,1.00671990877372
1,amine,unequalpi,bias,99,0.0442798353909,0.0110288065844,0.780259686856,0.853484469855,0.914204902859638
1,amine,unequalpi,bias,100,0.0304801097394,0.0128943758573,0.809031962675,0.750674938622,1.07773940630032
1,amine,unequalpi,nobias,1,0.000987654320988,0.0210699588477,0.0653761777655,0.999999999304,0.0653761778110018
1,amine,unequalpi,nobias,2,0.000740740740741,0.0150617283951,0.094004899263,0.999999999985,0.0940048992644101
1,amine,unequalpi,nobias,3,0.00181069958848,0.0243621399177,0.0628841464332,0.999999999376,0.0628841464724397
1,amine,unequalpi,nobias,4,0.000576131687243,0.0122633744856,0.0846327324255,0.999999994992,0.0846327328493407
1,amine,unequalpi,nobias,5,0,0.0146502057613,0.0302734408501,0.999999996666,0.0302734409510317
1,amine,unequalpi,nobias,6,0.00551440329218,0.0198353909465,0.0948477054282,0.9999999998,0.0948477054471695
1,amine,unequalpi,nobias,7,0.00164609053498,0.0215637860082,0.0520543854219,0.99999999964,0.0520543854406396
1,amine,unequalpi,nobias,8,0.00131687242798,0.0116872427984,0.0853318632624,0.999999998701,0.0853318633732461
1,amine,unequalpi,nobias,9,0.000658436213992,0.0207407407407,0.0328259397816,0.999999999974,0.0328259397824535
1,amine,unequalpi,nobias,10,0.00296296296296,0.0233744855967,0.0513095107883,0.999999997434,0.0513095109199602
1,amine,unequalpi,nobias,11,0.00255144032922,0.0165432098765,0.0981405686786,0.999999999841,0.0981405686942043
1,amine,unequalpi,nobias,12,0.00255144032922,0.0117695473251,0.14609328133,0.99999999998,0.146093281332922
1,amine,unequalpi,nobias,13,0.00979423868313,0.022304526749,0.17866061313,1,0.17866061313
1,amine,unequalpi,nobias,14,0.00279835390947,0.0153086419753,0.17079838439,1,0.17079838439
1,amine,unequalpi,nobias,15,0.0041975308642,0.020658436214,0.137867184125,0.999999999795,0.137867184153263
1,amine,unequalpi,nobias,16,0.0181069958848,0.0138271604938,0.198653448003,1,0.198653448003
1,amine,unequalpi,nobias,17,0.00930041152263,0.0172016460905,0.215603764308,1,0.215603764308
1,amine,unequalpi,nobias,18,0.00378600823045,0.0230452674897,0.1801236459,1,0.1801236459
1,amine,unequalpi,nobias,19,0.00181069958848,0.0158024691358,0.175676154501,0.9999999999,0.175676154518568
1,amine,unequalpi,nobias,20,0.0132510288066,0.0195061728395,0.200003990236,1,0.200003990236
1,amine,unequalpi,nobias,21,0.0118518518519,0.0156378600823,0.231489914097,1,0.231489914097
1,amine,unequalpi,nobias,22,0.0199176954733,0.0167901234568,0.242787981474,1,0.242787981474
1,amine,unequalpi,nobias,23,0.0103703703704,0.0235390946502,0.279562828662,1,0.279562828662
1,amine,unequalpi,nobias,24,0.0083950617284,0.0186008230453,0.253131032459,1,0.253131032459
