dataset,biastype,method,rep,estbias,r,rmsd,resvar,parameter
amine,bias,FUBAR1,1,0.106566231444125,0.876555215029072,0.187229923244296,0.0227876213408434,dN
amine,bias,FUBAR1,2,0.101699476444125,0.890372847382836,0.183563002541877,0.0214441990204765,dN
amine,bias,FUBAR1,3,0.101886471444125,0.904852725353148,0.175348810838302,0.0182928947397563,dN
amine,bias,FUBAR1,4,0.109642795944125,0.87505219053259,0.1865155267242,0.0222149710967072,dN
amine,bias,FUBAR1,5,0.107559678444125,0.881436589632778,0.181675082122967,0.0208546557142097,dN
amine,bias,FUBAR1,6,0.090664354744125,0.897485643751308,0.178694076914648,0.0209506863471129,dN
amine,bias,FUBAR1,7,0.097851316444125,0.912481336169797,0.165831456593376,0.0161708412790554,dN
amine,bias,FUBAR1,8,0.100458342444125,0.895465590139824,0.172180198528844,0.0186002614012701,dN
amine,bias,FUBAR1,9,0.086523495744125,0.893824241007138,0.166303282794215,0.0191295234642358,dN
amine,bias,FUBAR1,10,0.108868479444125,0.885403460124823,0.181203393910778,0.0202772203076196,dN
amine,bias,FUBAR1,11,0.096609706444125,0.912336993076149,0.174572786675006,0.017904128951074,dN
amine,bias,FUBAR1,12,0.106185079444125,0.848346398980224,0.195963120989158,0.0270149160997801,dN
amine,bias,FUBAR1,13,0.093390612444125,0.890554914512086,0.186078175004981,0.0229495666585708,dN
amine,bias,FUBAR1,14,0.110185684444125,0.880764471698556,0.186412596019658,0.0217308126097666,dN
amine,bias,FUBAR1,15,0.101652039444125,0.859409008189131,0.181166039821743,0.0227011611273795,dN
amine,bias,FUBAR1,16,0.090594041444125,0.894546423669744,0.166119168886404,0.0185558881476149,dN
amine,bias,FUBAR1,17,0.099322057744125,0.863116054884193,0.196709846567035,0.0273749477427571,dN
amine,bias,FUBAR1,18,0.097360018444125,0.901386323512421,0.161877692146181,0.016280877294929,dN
amine,bias,FUBAR1,19,0.109021024444125,0.912521452373271,0.182156877712888,0.0179599413544552,dN
amine,bias,FUBAR1,20,0.096236843444125,0.900637196199292,0.173132301764891,0.0188970308060048,dN
amine,bias,FUBAR1,21,0.099906539444125,0.896248456789098,0.179273651507093,0.02017018765791,dN
amine,bias,FUBAR1,22,0.111406334444125,0.85944877614436,0.187755306382469,0.0230038760918934,dN
amine,bias,FUBAR1,23,0.104669649444125,0.869329387599175,0.184844527178024,0.0228756397010939,dN
amine,bias,FUBAR1,24,0.104884592444125,0.884949340513252,0.185463183109429,0.021943939547796,dN
amine,bias,FUBAR1,25,0.108940654544125,0.889377861566004,0.185561751847466,0.0210375547564349,dN
amine,bias,FUBAR1,26,0.102807106944125,0.907220140357712,0.170959923782114,0.0170788887437003,dN
amine,bias,FUBAR1,27,0.094299311444125,0.882965754981919,0.182679454212758,0.0228145928054293,dN
amine,bias,FUBAR1,28,0.107550717444125,0.908966801645555,0.17846778915699,0.0178283922373565,dN
amine,bias,FUBAR1,29,0.109342141144125,0.888689898012187,0.184721853322635,0.0208373845532887,dN
amine,bias,FUBAR1,30,0.105814121444125,0.903502860006101,0.182903305173351,0.0194915760844913,dN
amine,bias,FUBAR1,31,0.096977146644125,0.876487696762992,0.185942205250278,0.0238061707940358,dN
amine,bias,FUBAR1,32,0.101565441444125,0.895821032009898,0.165747437138586,0.0169059120457061,dN
amine,bias,FUBAR1,33,0.109622650444125,0.883567152833316,0.184277177967581,0.0210711104539844,dN
