site,dataset,rep,biastype,empdn,empds
1,amine,10,bias,0.105014892937,0.853624585389
2,amine,10,bias,0.00441796437098,0.44086911237
3,amine,10,bias,0.0108464269793,0.628136268967
4,amine,10,bias,0.0712157104576,0.984568427676
5,amine,10,bias,0.00126822708491,0.245749401553
6,amine,10,bias,0.0127016376033,0.378066379695
7,amine,10,bias,0.00604250695522,0.852168657824
8,amine,10,bias,0.00571434020463,0.659656551215
9,amine,10,bias,0.0732477788122,0.864654499327
10,amine,10,bias,0.0885896373077,0.843003066808
11,amine,10,bias,0.01594092872,0.646191211774
12,amine,10,bias,0.178173110634,0.702246978413
13,amine,10,bias,0.0350449478874,0.981357143101
14,amine,10,bias,0.0823456244671,0.885749250064
15,amine,10,bias,0.0440713510336,0.895800581385
16,amine,10,bias,0.302019832856,0.561671962581
17,amine,10,bias,0.0657399402221,0.30636457852
18,amine,10,bias,0.0231343683635,0.797748078476
19,amine,10,bias,0.027368622644,0.952496587622
20,amine,10,bias,0.251719535863,0.770751281373
21,amine,10,bias,0.122162507664,0.565070777251
22,amine,10,bias,0.352503044691,0.795218640029
23,amine,10,bias,0.219402659419,0.674231192689
24,amine,10,bias,0.217467687578,0.671912949268
25,amine,10,bias,0.372801419211,0.843809264316
26,amine,10,bias,0.230921109811,0.727106108139
27,amine,10,bias,0.0226705569833,0.741916452894
28,amine,10,bias,0.125579202136,0.523737634375
29,amine,10,bias,0.0896779105242,0.712757661513
30,amine,10,bias,0.0766456145062,0.651532720532
31,amine,10,bias,0.299925272098,0.614762951212
32,amine,10,bias,0.0134509410379,0.650935277286
33,amine,10,bias,0.296777322365,0.815861567081
34,amine,10,bias,0.276769672287,0.803740721353
35,amine,10,bias,0.405059597126,0.672991745004
36,amine,10,bias,0.452225192476,0.907539759228
37,amine,10,bias,0.325734640757,0.681216186497
38,amine,10,bias,0.323058997105,0.775236729015
39,amine,10,bias,0.128807107935,0.481834093633
40,amine,10,bias,0.319437068921,0.668743573438
41,amine,10,bias,0.277118506715,0.897542401676
42,amine,10,bias,0.0366572816581,0.618481706731
43,amine,10,bias,0.178583615018,0.825306969138
44,amine,10,bias,0.354772663598,0.881541713089
45,amine,10,bias,0.0825360351533,0.548564339864
46,amine,10,bias,0.402990801716,0.615318685492
47,amine,10,bias,0.218138380667,0.513864437841
48,amine,10,bias,0.38551210962,0.668028310636
49,amine,10,bias,0.199968959333,0.65142393092
50,amine,10,bias,0.443350786612,0.73504417409
51,amine,10,bias,0.254131865806,0.627617474449
52,amine,10,bias,0.405424188681,0.880254999534
53,amine,10,bias,0.40387261527,0.457385292108
54,amine,10,bias,0.132712254881,0.688544518073
