method,ntaxa,bl,biastype,pitype,parameter,r,estbias,rmsd,resvar
FEL1,128,0.0025,bias,equalpi,dN,0.277796694688378,1.96811063758389,2.93790639344852,5.17205574569834
FEL1,128,0.0025,bias,unequalpi,dN,0.3015606811864,1.61629999844325,2.55931319435781,4.42984527986599
FEL1,128,0.0025,nobias,equalpi,dN,0.284591318506847,1.28965104497675,2.1442770433625,3.31947650667217
FEL1,128,0.0025,nobias,unequalpi,dN,0.325655802498825,1.22374050295042,1.99734361816694,2.71050372795506
FEL1,128,0.01,bias,equalpi,dN,0.357108005403128,0.378988043030097,0.921581606814063,0.746687726436715
FEL1,128,0.01,bias,unequalpi,dN,0.331503431748723,0.374513257040691,0.924297372049796,0.74464847062586
FEL1,128,0.01,nobias,equalpi,dN,0.397336242357212,0.186017701508367,0.723987685600096,0.508010045855688
FEL1,128,0.01,nobias,unequalpi,dN,0.377917012194524,0.185389752185512,0.708863543566718,0.478498114988659
FEL1,128,0.04,bias,equalpi,dN,0.51125215120594,0.129598764083938,0.523756186025123,0.259617121392007
FEL1,128,0.04,bias,unequalpi,dN,0.502419020667833,0.118938462196308,0.492346375190667,0.232508664424171
FEL1,128,0.04,nobias,equalpi,dN,0.567091886323228,0.0229794797631149,0.424785926324645,0.181711646180066
FEL1,128,0.04,nobias,unequalpi,dN,0.545883796241044,0.0320440420109501,0.422031925036797,0.180071848849585
FEL1,128,0.16,bias,equalpi,dN,0.689735801297942,0.09952610642874,0.331002645234093,0.097936225832288
FEL1,128,0.16,bias,unequalpi,dN,0.691530512630402,0.0953125554962932,0.314309956412523,0.08906201236732
FEL1,128,0.16,nobias,equalpi,dN,0.729074128782734,-0.00337009574975664,0.258931220724069,0.0678624664113251
FEL1,128,0.16,nobias,unequalpi,dN,0.727745640610623,0.00488384473660768,0.257388550865689,0.0666548609531659
FEL1,128,0.64,bias,equalpi,dN,0.8687507114521,0.0939681398694435,0.204833366724183,0.029126730412501
FEL1,128,0.64,bias,unequalpi,dN,0.874247020824081,0.084293972070041,0.191259692779344,0.02663255398913
FEL1,128,0.64,nobias,equalpi,dN,0.891370675763533,-0.0374557722822156,0.139185304911077,0.0181632796503976
FEL1,128,0.64,nobias,unequalpi,dN,0.890453867694771,-0.0403781168644776,0.137662210293491,0.0173881478462999
FEL1,256,0.0025,bias,equalpi,dN,0.309551759918248,0.742073080332392,1.41378316105858,1.56644348388478
FEL1,256,0.0025,bias,unequalpi,dN,0.310866558564027,0.75017977581258,1.38084823899506,1.43254576005767
FEL1,256,0.0025,nobias,equalpi,dN,0.332817088295916,0.50399111187839,1.16246195053294,1.15194048421553
FEL1,256,0.0025,nobias,unequalpi,dN,0.327979178533235,0.59030483910823,1.23518030281243,1.27232629103167
FEL1,256,0.01,bias,equalpi,dN,0.416681626049617,0.199917454121753,0.698014834003766,0.460250748599432
FEL1,256,0.01,bias,unequalpi,dN,0.40808110226979,0.222355797472713,0.695930097855783,0.450118792873345
FEL1,256,0.01,nobias,equalpi,dN,0.453762334961406,0.0581661074707253,0.554204905831747,0.313460347079415
FEL1,256,0.01,nobias,unequalpi,dN,0.451265413392799,0.0335611091846883,0.509305147916186,0.263044142716876
FEL1,256,0.04,bias,equalpi,dN,0.572181563829194,0.109105015117816,0.442215452290874,0.185237474090031
FEL1,256,0.04,bias,unequalpi,dN,0.560535075787246,0.113142351726379,0.437693706497589,0.181276649639083
FEL1,256,0.04,nobias,equalpi,dN,0.623090562165619,0.0071752041217999,0.352747985604164,0.127044177871953
FEL1,256,0.04,nobias,unequalpi,dN,0.610109354233083,0.00816958406136757,0.352501813534058,0.126154400349968
FEL1,256,0.16,bias,equalpi,dN,0.73078126933543,0.097121604187734,0.296462460857498,0.0756590793889976
FEL1,256,0.16,bias,unequalpi,dN,0.740286569729248,0.0904051126071359,0.274294301202078,0.0660845964369299
FEL1,256,0.16,nobias,equalpi,dN,0.76862896180078,-0.0106490144065008,0.22163590819675,0.0494123326744393
FEL1,256,0.16,nobias,unequalpi,dN,0.774676129424883,0.00369660629142866,0.219462823334103,0.0486719776946709
