method,ntaxa,bl,biastype,pitype,r,estbias,rmsd,resvar
FEL1,128,0.0025,bias,equalpi,0.291665315783237,1.85928603868784,2.86076723135737,5.11991113934774
FEL1,128,0.0025,bias,unequalpi,0.304445013152244,1.51903259644753,2.49362216202586,4.45967423770109
FEL1,128,0.0025,nobias,equalpi,0.284591318506846,1.28965104497675,2.1442770433625,3.31947650667217
FEL1,128,0.0025,nobias,unequalpi,0.325655802494332,1.22374050294547,1.99734361816618,2.71050372796096
FEL1,128,0.01,bias,equalpi,0.359104759798103,0.27386887652675,0.881429475444975,0.745661959497115
FEL1,128,0.01,bias,unequalpi,0.329968627799573,0.277594521086824,0.889233317047917,0.747074013456216
FEL1,128,0.01,nobias,equalpi,0.397336242357212,0.186017701508367,0.723987685600096,0.508010045855688
FEL1,128,0.01,nobias,unequalpi,0.377917012191019,0.185389752178719,0.708863543566153,0.478498114989977
FEL1,128,0.04,bias,equalpi,0.503266429176518,0.0295479061912202,0.507789646498037,0.261847569367659
FEL1,128,0.04,bias,unequalpi,0.489661097186624,0.0252337995718039,0.481897967026873,0.236263514998312
FEL1,128,0.04,nobias,equalpi,0.567091886323228,0.0229794797631144,0.424785926324645,0.181711646180066
FEL1,128,0.04,nobias,unequalpi,0.545883796240122,0.0320440420017885,0.422031925036618,0.180071848849755
FEL1,128,0.16,bias,equalpi,0.670397923270621,0.001186355185598,0.318145610985535,0.102739318321103
FEL1,128,0.16,bias,unequalpi,0.673818790645781,0.00282973298155843,0.303533380201537,0.0932342604749617
FEL1,128,0.16,nobias,equalpi,0.729074128782734,-0.00337009574975719,0.258931220724069,0.067862466411325
FEL1,128,0.16,nobias,unequalpi,0.727745640611268,0.00488384472704419,0.257388550865603,0.0666548609529666
FEL1,128,0.64,bias,equalpi,0.845046067364967,-0.00432455668857832,0.184089334651243,0.0340420946590303
FEL1,128,0.64,bias,unequalpi,0.847637373035651,-0.0081684151145383,0.178550198400006,0.0319022903140518
FEL1,128,0.64,nobias,equalpi,0.891370675763533,-0.0374557722822161,0.139185304911077,0.0181632796503976
FEL1,128,0.64,nobias,unequalpi,0.890453867697626,-0.0403781168740411,0.137662210293636,0.0173881478458683
FEL1,256,0.0025,bias,equalpi,0.302816113740604,0.637892244820374,1.36134410213682,1.56988433632348
FEL1,256,0.0025,bias,unequalpi,0.313013628392928,0.651944941258498,1.3271708774559,1.43199412182037
FEL1,256,0.0025,nobias,equalpi,0.332817088295916,0.503991111878389,1.16246195053294,1.15194048421553
FEL1,256,0.0025,nobias,unequalpi,0.327979178526375,0.590304839101407,1.23518030281196,1.27232629103696
FEL1,256,0.01,bias,equalpi,0.403918247922896,0.0982428885199249,0.678864194381483,0.464866411475696
FEL1,256,0.01,bias,unequalpi,0.397323921165494,0.126802244287459,0.674594161178669,0.455178476875506
FEL1,256,0.01,nobias,equalpi,0.453762334961405,0.0581661074707248,0.554204905831747,0.313460347079415
FEL1,256,0.01,nobias,unequalpi,0.451265413392608,0.0335611091762175,0.509305147915455,0.263044142716629
FEL1,256,0.04,bias,equalpi,0.557564622713775,0.0102678733095606,0.42999002098401,0.189559534644166
FEL1,256,0.04,bias,unequalpi,0.545335188488169,0.0202471469424404,0.426016632993913,0.185643886075451
FEL1,256,0.04,nobias,equalpi,0.62309056216562,0.00717520412179935,0.352747985604164,0.127044177871953
FEL1,256,0.04,nobias,unequalpi,0.610109354234054,0.00816958405179143,0.352501813533704,0.126154400349704
FEL1,256,0.16,bias,equalpi,0.713040639428929,-0.00117109237028784,0.28177656996861,0.0799467157620961
FEL1,256,0.16,bias,unequalpi,0.71998633043584,-0.00205727457744336,0.264263256404529,0.0704882882226328
FEL1,256,0.16,nobias,equalpi,0.76862896180078,-0.0106490144065013,0.22163590819675,0.0494123326744393
FEL1,256,0.16,nobias,unequalpi,0.774676129426356,0.00369660628186516,0.219462823333472,0.0486719776943449
FEL1,256,0.64,bias,equalpi,0.873749429650888,-0.00580396351404449,0.160954220135015,0.0259236573662973
FEL1,256,0.64,bias,unequalpi,0.870532571128655,-0.0127794392882212,0.158259285021321,0.0248809658476244
FEL1,256,0.64,nobias,equalpi,0.922228666929289,-0.0406534236864404,0.11632325863661,0.0118931767817965
FEL1,256,0.64,nobias,unequalpi,0.918999753031893,-0.0404847544028465,0.11753915642822,0.0121437756463794
FEL1,512,0.0025,bias,equalpi,0.366223289276994,0.282377924052351,0.898998516249687,0.76469075662068
FEL1,512,0.0025,bias,unequalpi,0.362675897782521,0.270679791184875,0.878812695819317,0.731954395613659
FEL1,512,0.0025,nobias,equalpi,0.413065903419296,0.160135612536934,0.692851650924486,0.473788013346954
FEL1,512,0.0025,nobias,unequalpi,0.379602212154055,0.17083914399251,0.703983114095248,0.481254578511862
FEL1,512,0.01,bias,equalpi,0.459606496792257,0.0329856055849974,0.539345451949433,0.297024844138928
FEL1,512,0.01,bias,unequalpi,0.450103227864965,0.0524310847159941,0.560453515246309,0.319975365807989
FEL1,512,0.01,nobias,equalpi,0.522689261723488,0.0139147829146864,0.442151158260964,0.198689395404168
FEL1,512,0.01,nobias,unequalpi,0.51654378049384,0.0473709251384498,0.473584520811708,0.228250908355449
FEL1,512,0.04,bias,equalpi,0.582047847577136,0.0018482767354961,0.391863222753949,0.156221203628841
FEL1,512,0.04,bias,unequalpi,0.595921567877471,0.0115985882538609,0.384023433492727,0.150627546535098
FEL1,512,0.04,nobias,equalpi,0.64351239583392,0.0140387860588819,0.33013899521529,0.110460025994331
FEL1,512,0.04,nobias,unequalpi,0.650924377567784,0.0124757423199696,0.318243425633397,0.102177018113563
FEL1,512,0.16,bias,equalpi,0.751599728982821,-0.00357447960282171,0.247978297260108,0.0622503721207449
