ntaxa,bl,method,rep,biastype,estbias,r,rmsd,resvar
128,0.0025,FEL1,1,bias,0.299724271325952,0.967242219260274,0.821805256566187,0.0449704757998233
128,0.0025,FEL1,1,nobias,0.436732723751749,0.851711772288183,0.877330814675983,0.374571984776549
128,0.0025,FEL1,2,bias,0.373822768645972,0.548961703687703,0.975160942718671,0.846005552759744
128,0.0025,FEL1,2,nobias,0.167044658116293,0.773636821620935,0.509358666587461,0.243468060205202
128,0.0025,FEL1,3,bias,0.781232074213721,0.412314153729822,1.34582155986691,1.42565122543039
128,0.0025,FEL1,3,nobias,0.343669789573088,0.810915575729207,1.4813023008233,1.78882378040561
128,0.0025,FEL1,4,bias,0.610484589444641,0.794101582286371,1.15192668245777,0.688734784002954
128,0.0025,FEL1,4,nobias,0.399426844672144,0.918689405410266,0.747951943743473,0.26371796375811
128,0.0025,FEL1,5,bias,0.509940565160514,0.893444913651858,1.2533318604962,0.326252322870249
128,0.0025,FEL1,5,nobias,0.498970947585917,0.938411278963118,0.974948793962472,0.204108947158304
128,0.0025,FEL1,6,bias,0.376749524197178,1,1.19138660384779,2.31342704919795e-30
128,0.0025,FEL1,6,nobias,0.102325476334974,1,0.396304865738086,1.12059493071885e-30
128,0.0025,FEL1,7,nobias,0.364874673272913,0.851591437746948,1.01012532023485,0.292639226984983
128,0.0025,FEL1,8,bias,0.415439581930992,0.807705577404332,0.878627878735113,0.576431004548203
128,0.0025,FEL1,8,nobias,0.161627470011122,0.998415101698957,0.511726379596491,0.000952265453263397
128,0.0025,FEL1,9,bias,0.468482030033199,0.61816388643477,1.07653793615109,0.98249612792961
128,0.0025,FEL1,9,nobias,0.210643374566085,0.654716486076121,0.898615557531309,0.828947089292476
128,0.0025,FEL1,10,bias,0.947926211217472,0.958753257219448,1.90105051990243,0.322415716157657
128,0.0025,FEL1,10,nobias,0.471147361395997,0.855377042837099,1.11207171923877,0.440195056731745
128,0.0025,FEL1,11,bias,0.559677130839661,0.819998595825343,1.42263742552928,0.670610723227714
128,0.0025,FEL1,11,nobias,0.221076048568587,1,0.733226303236379,4.43965370780146e-30
128,0.0025,FEL1,12,bias,0.165229289642878,0.320602630631243,2.2774576220052,2.88393822677264
128,0.0025,FEL1,12,nobias,0.452205366507541,0.867636162624212,0.983780038981173,0.33482430788338
128,0.0025,FEL1,13,bias,0.307709270087833,1,0.92312781026349,4.06800425510456e-30
128,0.0025,FEL1,13,nobias,1.15520382829401,0.991528027957769,2.16301017442908,0.081697604888521
128,0.0025,FEL1,14,bias,0.609726436862393,0.957619698650335,1.59628390235447,0.24271362399594
128,0.0025,FEL1,15,bias,1.01182716102412,0.544729556585531,2.1033485668037,3.27296557191231
128,0.0025,FEL1,15,nobias,0.405487541843352,0.666972227348197,1.04528214039233,1.12074433055331
128,0.0025,FEL1,16,bias,1.16328554847467,0.988162908248844,2.02012093151827,0.0911753207882822
128,0.0025,FEL1,16,nobias,0.399531709395181,0.544254465115811,0.940471019814063,0.689797567537234
128,0.0025,FEL1,17,bias,1.04171850932045,0.655508544320988,1.84022481693843,2.31296253569138
128,0.0025,FEL1,17,nobias,0.241793791267915,0.588928873395986,0.721026902336865,0.512244127641099
128,0.0025,FEL1,18,bias,0.930694538301089,1,2.63240167698392,6.78030056688008e-29
128,0.0025,FEL1,18,nobias,0.392526048565269,0.624026106971477,1.02120970599557,0.99293225067581
128,0.0025,FEL1,19,bias,0.250933852822236,1,0.869260364854236,1.27797007389759e-30
128,0.0025,FEL1,19,nobias,1.35693902579768,0.928722113383455,3.04169603666822,1.41803657982926
128,0.0025,FEL1,20,bias,0.899594337134655,0.951768741800267,2.06183118191077,0.526167311812695
128,0.0025,FEL1,20,nobias,0.156110120591542,1,0.584110585861503,1.99924367760358e-30
128,0.0025,FEL1,21,bias,0.990848287240102,0.922525106544717,1.58027584386052,0.364007868341068
128,0.0025,FEL1,21,nobias,0.0860440231697126,1,0.354768595981807,2.11798367844153e-30
128,0.0025,FEL1,22,bias,0.290528120107719,1,1.12521057078214,2.04148574105047e-30
128,0.0025,FEL1,22,nobias,0.484885428797215,0.566016120720235,1.00138367373304,0.725327331636857
128,0.0025,FEL1,23,bias,0.2253766769475,1,0.780727710628206,3.41613749815631e-30
128,0.0025,FEL1,23,nobias,0.332661858719502,0.769547216437384,0.760115630491193,0.309775067089144
128,0.0025,FEL1,24,bias,1.92690982612194,0.246704034468242,3.32136133957063,8.63132698536047
128,0.0025,FEL1,24,nobias,0.453597421585922,0.773149541844013,1.01129253024393,0.86576542214829
128,0.0025,FEL1,25,bias,0.79705760712056,0.890463113208241,1.50868390230005,0.628899259863015
128,0.0025,FEL1,26,nobias,0.063497897633096,0.550713805338005,1.15356983656397,0.630818850389384
128,0.0025,FEL1,27,bias,0.224497924277381,1,0.77768362208434,2.82880590231597e-30
128,0.0025,FEL1,27,nobias,0.242448467299805,0.992627689018142,0.685758634962582,0.00757259164538245
128,0.0025,FEL1,28,bias,0.312018764219252,0.959660228917156,0.825651019607462,0.0643360023965722
128,0.0025,FEL1,29,bias,1.1966036143334,0.719292320784554,2.051273166065,1.89171657772724
128,0.0025,FEL1,29,nobias,0.637768914879265,0.641115608250396,1.36265855563547,1.62054436988597
128,0.0025,FEL1,30,nobias,0.14445327741203,1,0.52083369861789,2.19002746512485e-30
