ntaxa,bl,method,rep,biastype,pitype,estbias,r,rmsd,resvar
128,0.0025,FEL1,1,bias,equalpi,1.59860439176847,0.266745713906308,3.19364456107282,8.0041080876414
128,0.0025,FEL1,1,bias,unequalpi,1.08459473538707,0.0287817967661936,1.95731700359046,2.78648959943292
128,0.0025,FEL1,1,nobias,equalpi,0.831655957772483,0.222481170527076,1.54258178547139,1.77400856553315
128,0.0025,FEL1,1,nobias,unequalpi,1.49783078794411,0.309282419609755,2.07242386024938,2.15284702306745
128,0.0025,FEL1,2,bias,equalpi,1.3157013010117,-0.063995698754501,2.60630720066794,5.30566846416186
128,0.0025,FEL1,2,bias,unequalpi,0.525479590649788,-0.019416359183197,1.2150319997334,1.20038633598802
128,0.0025,FEL1,2,nobias,equalpi,0.721771563959974,0.285542507978167,1.37294651531363,1.43415293023122
128,0.0025,FEL1,2,nobias,unequalpi,1.09509189731944,0.481878033609563,1.96068927624861,2.4597423747191
128,0.0025,FEL1,3,bias,equalpi,2.1052350866053,0.484435201056711,3.28376607141738,5.7608881613558
128,0.0025,FEL1,3,bias,unequalpi,2.12493993909508,0.265382311636501,2.99271293688519,4.5734146818181
128,0.0025,FEL1,3,nobias,equalpi,1.56279505900919,0.23954797039158,2.40128331862921,3.51221362793464
128,0.0025,FEL1,3,nobias,unequalpi,1.49158349374432,0.512208122400411,2.45897515279326,3.37120455483776
128,0.0025,FEL1,4,bias,equalpi,0.571975094272477,0.239694128832582,1.34942668996269,1.58159979463709
128,0.0025,FEL1,4,bias,unequalpi,1.13705605076743,0.369838087177306,1.80212084206787,1.99159682399409
128,0.0025,FEL1,4,nobias,equalpi,1.40008055325671,0.17777732040143,2.57527610595075,4.98427534392915
128,0.0025,FEL1,4,nobias,unequalpi,1.26233346107874,0.210881042677498,1.77716984206638,1.6654990909356
128,0.0025,FEL1,5,bias,equalpi,0.959797092661089,0.276622082822882,1.79503158116237,2.44829993823614
128,0.0025,FEL1,5,bias,unequalpi,1.53681871742159,0.287551185666374,2.72526478056659,5.38682210032952
128,0.0025,FEL1,5,nobias,equalpi,0.484547096532269,0.216690815426525,1.14729839507246,1.14699232396432
128,0.0025,FEL1,5,nobias,unequalpi,0.92070835411481,0.469712022069641,1.4718979348284,1.29689120557667
128,0.0025,FEL1,6,bias,equalpi,2.73092739363983,0.0783621333617509,3.82503930001176,8.12325723513567
128,0.0025,FEL1,6,bias,unequalpi,2.26448589949699,0.613907402457115,3.26919852535448,4.20061519313347
