method,dataset,biastype,r,estbias,rmsd,resvar
FUBAR1,amine,bias,0.860955595308608,0.0104078748497457,0.15963313922849,0.0255315083659804
FUBAR1,amine,nobias,0.913631706803657,0.0202226736697735,0.121832050424836,0.0145341326149682
FUBAR1,camelid,bias,0.483779373694964,0.0397173918795457,0.429918371922259,0.189842381552096
FUBAR1,camelid,nobias,0.540574628922307,0.0469144184267735,0.365624936231712,0.13631783419647
FUBAR1,h3,bias,0.382020180222594,0.0520565896595457,0.466520940693695,0.219995401854764
FUBAR1,h3,nobias,0.422201308623969,0.0583825701267735,0.405865277214537,0.164241826620894
FUBAR1,hivrt,bias,0.366958932966124,0.0443339770595457,0.457718513735237,0.209672054443046
FUBAR1,hivrt,nobias,0.433005774284088,0.0532753823267735,0.37713103617828,0.137185694824656
FUBAR1,vertrho,bias,0.563460745726212,0.0252090271795457,0.314515087992823,0.0948599271997624
FUBAR1,vertrho,nobias,0.625053792771034,0.0419282149667735,0.275640627076374,0.0729555477340098
FUBAR2,amine,bias,0.828959058237404,0.00845141713307922,0.187347635754013,0.0363574749460861
FUBAR2,amine,nobias,0.898147069142211,-0.0111958731701646,0.124093664300718,0.0149482032514057
FUBAR2,camelid,bias,0.377910522792161,0.249384344162504,0.849939410331007,0.749549923456421
FUBAR2,camelid,nobias,0.420163947647759,0.190452748724038,0.671568914959904,0.456739695990332
FUBAR2,h3,bias,0.304755662396112,0.293768831545154,0.876254466523047,0.751088466217953
FUBAR2,h3,nobias,0.334691002885832,0.271171300787338,0.780034191891884,0.591586818917255
FUBAR2,hivrt,bias,0.269448153170717,0.28448150715364,0.834456192027636,0.660990594230345
FUBAR2,hivrt,nobias,0.324558298254615,0.26697424604607,0.760113584889089,0.553231790798311
FUBAR2,vertrho,bias,0.405739404444119,0.186955995106043,0.652497378805942,0.412645856313042
FUBAR2,vertrho,nobias,0.480825459324718,0.164398364577169,0.521014158770463,0.263795889587924
