site,dnds,dn,ds
1,0.070097843616,0.0484308954286,0.690904212317
2,0.0985497706375,0.0770656156185,0.781996904914
3,0.0601242206429,0.053916515913,0.896752013357
4,0.0911501386768,0.0726551127672,0.797092728787
5,0.0394416700788,0.021692628219,0.549992639147
6,0.118500540336,0.0810165465743,0.683680819889
7,0.053449719932,0.0428370271507,0.801445306079
8,0.0842974685516,0.0698978094144,0.829180408563
9,0.0324724817533,0.026458381584,0.814793947228
10,0.0577444215816,0.0322979345134,0.559325621918
11,0.10829355636,0.0700993000603,0.647308135555
12,0.154524811477,0.120838537847,0.782000875407
13,0.171692681511,0.159764493263,0.930525936558
14,0.179178479899,0.135971631405,0.758861396087
15,0.137902959267,0.125051285733,0.906806397754
16,0.208403117388,0.146034166961,0.700729282706
17,0.222900945282,0.176388973951,0.791333449609
18,0.1780289334,0.151689742078,0.852051063728
19,0.170607274984,0.153412298178,0.89921310913
20,0.216706475752,0.16928591252,0.781176067456
21,0.266213552161,0.203216506405,0.763358982873
22,0.24779001464,0.204207793149,0.824116312539
23,0.285095956856,0.217576404496,0.763169028757
24,0.28634302635,0.18621613558,0.65032537357
25,0.359372433636,0.291467065556,0.811044582934
26,0.254010855502,0.201395283269,0.792860930574
27,0.272312018644,0.181512373582,0.666560273341
28,0.336504449506,0.291179894424,0.865307709458
29,0.23561130189,0.211956557116,0.899602673624
30,0.281558282601,0.243458799285,0.86468349301
31,0.33532830845,0.212741005651,0.634426024557
32,0.287653142617,0.206720215441,0.718644036219
33,0.269893906719,0.251749245013,0.932771132456
34,0.338902438475,0.31035973297,0.915778990457
35,0.47634998219,0.343011947239,0.720083888032
36,0.428874806563,0.360548047759,0.840683673281
37,0.405187294894,0.335797496808,0.828746362581
38,0.335968875657,0.314492029574,0.936074893721
39,0.382346379635,0.327748305157,0.857202585441
40,0.388638696652,0.349927884156,0.900393828949
41,0.365467409278,0.338924201977,0.927371889731
42,0.415153168215,0.264413942961,0.636906961587
43,0.491023360887,0.348954238384,0.710667284249
44,0.412791711269,0.370924970772,0.898576596006
45,0.571385029551,0.356648463958,0.624182373552
46,0.531063325863,0.495525764368,0.933082252598
47,0.443437707899,0.379165783158,0.855059857121
48,0.545727994282,0.448620275835,0.822058389042
49,0.502817024192,0.469830284206,0.934396135375
50,0.458263053889,0.40666173235,0.887398032415
51,0.55717593376,0.355195223567,0.637492041643
52,0.503732908504,0.454520903976,0.902305361238
53,0.545673877751,0.433591054445,0.794597418209
54,0.511126516282,0.478399022629,0.935969877104
55,0.485949906588,0.411581931209,0.846963700639
56,0.600190736708,0.484441581967,0.807146049312
57,0.573815418087,0.450449481885,0.785007630829
58,0.549561191874,0.508389352418,0.925082338301
59,0.661347828253,0.554324977615,0.838174639628
60,0.662354424504,0.501891964665,0.757739279904
61,0.62957075738,0.535213373979,0.850124259593
62,0.575367537954,0.537495572415,0.934177785431
63,0.624650848055,0.546322155487,0.874604040303
64,0.615074701423,0.439552650466,0.714632953443
65,0.633603626456,0.547971894728,0.864849681799
66,0.534415684507,0.497818808225,0.931519831204
67,0.749577378648,0.599798565958,0.800182320123
68,0.754306275695,0.671994195838,0.890877111182
69,0.815883047371,0.536167002048,0.657161591696
70,0.732448444862,0.637161116068,0.869905753145
71,0.674472507582,0.583528246486,0.865162389758
72,0.730395708534,0.546193743355,0.747805247174
73,0.687106641919,0.596385613799,0.867966597053
74,0.68699826359,0.591220434709,0.860585049544
75,0.791083934866,0.502053910962,0.634640508845
76,0.747374382752,0.634801912722,0.849376065561
77,0.744069445446,0.479226634394,0.644061703282
78,0.785592942178,0.699640475711,0.890589054647
79,0.810096270853,0.726557666665,0.896878177084
80,0.815919532104,0.60660873591,0.743466373879
81,0.843431567324,0.581059734164,0.68892338949
82,0.75914116045,0.691990563038,0.91154399088
83,0.808464506977,0.733533883029,0.90731736112
84,0.835896161706,0.753585459448,0.901529991369
85,0.871069244259,0.70980068784,0.814861381593
86,0.785926213061,0.697682170779,0.88771968562
87,0.856447832786,0.723400011655,0.84465157592
88,0.814197813755,0.534510989578,0.656487871311
89,0.987095443127,0.599410142835,0.60724638839
90,0.95874454158,0.81666646911,0.851808207183
91,0.908398692984,0.783142186207,0.862112850068
92,0.97139260998,0.734690771868,0.756327322567
93,0.973286842469,0.795600096841,0.817436404281
94,0.915446805854,0.80579023762,0.880215248409
95,1.01256012932,0.721568688533,0.71261811288
96,0.898844965026,0.791649748295,0.88074115014
97,0.910538083593,0.726930332146,0.798352474482
98,1.02672515263,0.79225364534,0.771631671156
99,0.883151382346,0.74974906859,0.848947398574
100,1.09703828627,0.791347193262,0.721348747049
