site,biasterm
1,1.31456325955
2,1.48671711089
3,1.39381433633
4,1.45647581616
5,1.45568883904
6,1.37212686456
7,1.34561396008
8,1.36438818693
9,1.3372822964
10,1.30792240585
11,1.4856894832
12,1.33943022627
13,1.34758207925
14,1.46955168946
15,1.43140142374
16,1.40481494883
17,1.42406662164
18,1.44927938009
19,1.32851349633
20,1.47800092603
21,1.36581585315
22,1.48009396744
23,1.43649778724
24,1.36106020719
25,1.46248014039
26,1.48279364916
27,1.36854724833
28,1.48183709793
29,1.41378639621
30,1.4807726914
31,1.32303644308
32,1.32685617402
33,1.3476728975
34,1.33997407464
35,1.39372936471
36,1.3068513613
37,1.37612672658
38,1.44766033042
39,1.40265454871
40,1.39202466076
41,1.45236597014
42,1.44335671511
43,1.37789889092
44,1.34861038125
45,1.39497031931
46,1.37491954818
47,1.39445582264
48,1.44043117266
49,1.49515866708
50,1.38335923911
51,1.35303550358
52,1.35283670513
53,1.38850314589
54,1.33627354748
55,1.46143140456
56,1.33848726287
57,1.4873156461
58,1.3353085205
59,1.39258993992
60,1.32360177878
61,1.30914700534
62,1.43174274703
63,1.33925111384
64,1.48379133783
65,1.38574267312
66,1.38183712244
67,1.30398109781
68,1.49633421629
69,1.4715459969
70,1.47295436803
71,1.49090506289
72,1.3467759681
73,1.3302633224
74,1.39513662503
75,1.39337678745
76,1.3281616103
77,1.34886408003
78,1.45294945537
79,1.40714616497
80,1.32460762953
81,1.3664217229
82,1.3041308372
83,1.42417207791
84,1.42858002288
85,1.32204563245
86,1.32221914546
87,1.41633104901
88,1.4412450939
89,1.45527374419
90,1.42897808991
91,1.41088406057
92,1.3678218216
93,1.37126938848
94,1.47143137038
95,1.4397601362
96,1.43609225343
97,1.48273032354
98,1.41341420889
99,1.40544243752
100,1.40611161555
