site,bias_term
1,0.78064283441
2,0.872101641733
3,0.786620883966
4,0.725124448167
5,0.864268141124
6,0.876963056968
7,0.876546470231
8,0.800347161499
9,0.879171109318
10,0.811637887145
11,0.786488460935
12,0.772460456372
13,0.876668193547
14,0.896968186951
15,0.766375137478
16,0.798354733532
17,0.730958778875
18,0.687261970333
19,0.638762316874
20,0.853960681595
21,0.878476364147
22,0.756498476891
23,0.607349805735
24,0.712211579194
25,0.845537712965
26,0.760882625165
27,0.637628403158
28,0.627649779002
29,0.63801200746
30,0.764111027647
31,0.620675093447
32,0.819331118693
33,0.625888775792
34,0.79645566128
35,0.709703081782
36,0.820819634855
37,0.632669875036
38,0.613773352385
39,0.614352748395
40,0.897658653734
41,0.73906566342
42,0.715461017788
43,0.885038622508
44,0.747296377393
45,0.743761161982
46,0.660863623105
47,0.702660099285
48,0.638068975453
49,0.769000803836
50,0.821573981185
51,0.853998595492
52,0.622107581394
53,0.723514146302
54,0.714851018942
55,0.657867083792
56,0.628144852276
57,0.78978988921
58,0.662226896137
59,0.730310838753
60,0.64193626104
61,0.886238059992
62,0.687784841823
63,0.65955229364
64,0.794547941308
65,0.617144124672
66,0.635156872809
67,0.761466944603
68,0.771283697067
69,0.812984195224
70,0.715057430629
71,0.716924949461
72,0.647619137853
73,0.849564950553
74,0.694737727014
75,0.798599606615
76,0.671079683785
77,0.842816392473
78,0.615740729764
79,0.629413210219
80,0.634153321016
81,0.846912330299
82,0.609153133084
83,0.770633155897
84,0.627626713904
85,0.637191125259
86,0.65723172799
87,0.674531481789
88,0.843183032196
89,0.660268991674
90,0.679766059616
91,0.614890221018
92,0.633456600698
93,0.692977413915
94,0.647475880562
95,0.699740281066
96,0.631630367322
97,0.686959175241
98,0.636820663564
99,0.690776355794
100,0.629195598404
