comp,coeff,lowerCI,upperCI,pvalue,sig,type
FEL1 - FEL2,-0.0821421442273355,-0.0979574117598009,-0.0663268766948701,0,TRUE,nobias
FEL1 - FUBAR1,0.0134138940318687,-0.00216468163508756,0.0289924696988249,0.138057781409879,FALSE,nobias
FEL1 - FUBAR2,-0.0364390421566444,-0.0520176178236007,-0.0208604664896882,3.04235525661056e-10,TRUE,nobias
  - SLAC1,-0.0519108853578877,-0.0674894610248439,-0.0363323096909314,0,TRUE,nobias
FEL1 - SLAC2,-0.190095250581241,-0.205673826248197,-0.174516674914284,0,TRUE,nobias
FUBAR1 - FEL2,0.0955560382592042,0.0797407707267388,0.11137130579167,0,TRUE,nobias
FUBAR2 - FEL2,0.0457031020706911,0.0298878345382256,0.0615183696031565,6.66133814775094e-16,TRUE,nobias
  - SLAC1,0.0302312588694478,0.0144159913369824,0.0460465264019132,6.34686212142022e-07,TRUE,nobias
  - SLAC2,-0.107953106353905,-0.123768373886371,-0.0921378388214397,0,TRUE,nobias
FUBAR1 - FUBAR2,-0.0498529361885131,-0.0654315118554694,-0.0342743605215569,0,TRUE,nobias
  - SLAC1,-0.0653247793897564,-0.0809033550567126,-0.0497462037228001,0,TRUE,nobias
FUBAR1 - SLAC2,-0.203509144613109,-0.219087720280066,-0.187930568946153,0,TRUE,nobias
  - SLAC1,-0.0154718432012433,-0.0310504188681995,0.000106732465712991,0.0526332964415934,FALSE,nobias
  - SLAC2,-0.153656208424596,-0.169234784091552,-0.13807763275764,0,TRUE,nobias
SLAC1 - SLAC2,-0.138184365223353,-0.153762940890309,-0.122605789556397,0,TRUE,nobias
FEL1 - FEL2,-0.269747344806755,-0.299750802856772,-0.239743886756739,0,TRUE,bias
FEL1 - FUBAR1,0.0497790821723187,0.0207089886220515,0.0788491757225859,1.99982969097956e-05,TRUE,bias
FEL1 - FUBAR2,-0.180218215026028,-0.209288308576295,-0.15114812147576,0,TRUE,bias
  - SLAC1,0.00768169813008051,-0.0213883954201867,0.0367517916803477,0.975064905802012,FALSE,bias
FEL1 - SLAC2,-0.236969131896032,-0.266039225446299,-0.207899038345765,0,TRUE,bias
FUBAR1 - FEL2,0.319526426979074,0.289522968929058,0.34952988502909,0,TRUE,bias
FUBAR2 - FEL2,0.0895291297807279,0.0595256717307116,0.119532587830744,4.44089209850063e-16,TRUE,bias
  - SLAC1,0.277429042936836,0.24742558488682,0.307432500986852,0,TRUE,bias
  - SLAC2,0.0327782129107233,0.00277475486070695,0.0627816709607396,0.0225282262319443,FALSE,bias
FUBAR1 - FUBAR2,-0.229997297198346,-0.259067390748613,-0.200927203648079,0,TRUE,bias
  - SLAC1,-0.0420973840422382,-0.0711674775925054,-0.013027290491971,0.000542987341909495,TRUE,bias
FUBAR1 - SLAC2,-0.286748214068351,-0.315818307618618,-0.257678120518084,0,TRUE,bias
  - SLAC1,0.187899913156108,0.158829819605841,0.216970006706375,0,TRUE,bias
  - SLAC2,-0.0567509168700046,-0.0858210104202718,-0.0276808233197374,2.5321270968881e-07,TRUE,bias
SLAC1 - SLAC2,-0.244650830026113,-0.27372092357638,-0.215580736475845,0,TRUE,bias
