ntaxa,bl,method,rep,estbias,r,rmsd,resvar,type
128,0.0025,FEL1,1,0.831655957772482,0.222481170527073,1.54258178547139,1.77400856553315,nobias
128,0.0025,FEL1,2,0.721771563959972,0.285542507978164,1.37294651531363,1.43415293023122,nobias
128,0.0025,FEL1,3,1.56279505900919,0.23954797039158,2.40128331862921,3.51221362793464,nobias
128,0.0025,FEL1,4,1.4000805532567,0.177777320401427,2.57527610595074,4.98427534392914,nobias
128,0.0025,FEL1,5,0.484547096532269,0.216690815426525,1.14729839507246,1.14699232396431,nobias
128,0.0025,FEL1,6,0.575104804964653,0.372103018160255,1.45129877550624,1.81706894359698,nobias
128,0.0025,FEL1,7,2.18665249325279,0.565043517248276,3.67565281948443,7.15899819194466,nobias
128,0.0025,FEL1,8,1.35988660875312,0.251331748566642,2.23459170023737,3.33153930435963,nobias
128,0.0025,FEL1,9,1.03185073819969,0.356884025127925,2.08183219746267,3.37114186393872,nobias
128,0.0025,FEL1,10,1.18676961101625,0.289302411343139,1.76970448339115,1.83823620724122,nobias
128,0.0025,FEL1,11,4.55033101379903,0.334193800419575,6.46781576876009,21.3406678141249,nobias
128,0.0025,FEL1,12,1.16925343452246,0.171659298016073,1.91766412115453,2.44594099535326,nobias
128,0.0025,FEL1,13,1.23715861165433,0.403910460830352,1.99607627383477,2.43157687291553,nobias
128,0.0025,FEL1,14,0.311921136658086,0.0914117046970359,1.21866043853421,1.46247127790739,nobias
128,0.0025,FEL1,15,2.01600663480672,0.260614066515711,2.8927210265621,4.52251016868614,nobias
128,0.0025,FEL1,16,1.48562178719345,0.509800636727896,2.34897149675217,3.02800735789492,nobias
128,0.0025,FEL1,17,0.491210076519049,0.368626134820355,1.13720357535827,1.09400651193195,nobias
128,0.0025,FEL1,18,1.25336319083157,0.218031175058963,2.14642208770124,3.22685567023566,nobias
128,0.0025,FEL1,19,1.14312951586992,0.0887542861018792,1.85538939450785,2.24845227828916,nobias
128,0.0025,FEL1,20,0.780264448084841,0.0940840958544342,1.77470621588796,2.69350124075439,nobias
