ntaxa,bl,method,rep,estbias,r,rmsd,resvar,type
128,0.0025,FEL1,1,1.49783078794411,0.309282419609747,2.07242386024938,2.15284702306746,nobias
128,0.0025,FEL1,2,1.09509189731946,0.481878033609582,1.96068927624861,2.45974237471904,nobias
128,0.0025,FEL1,3,1.49158349374432,0.512208122400409,2.45897515279326,3.37120455483776,nobias
128,0.0025,FEL1,4,1.26233346107873,0.210881042677471,1.77716984206638,1.66549909093562,nobias
128,0.0025,FEL1,5,0.920708354114828,0.469712022069543,1.47189793482843,1.29689120557682,nobias
128,0.0025,FEL1,6,0.44497568349137,0.389281036291465,0.986606002166427,0.819881914661771,nobias
128,0.0025,FEL1,7,1.24102876618681,0.557269517163167,2.13751461430479,2.5432723795594,nobias
128,0.0025,FEL1,8,0.275197654297898,0.286685463017716,0.892070550377358,0.767978759092728,nobias
128,0.0025,FEL1,9,1.0940277501991,0.164742079934167,1.88088541368583,2.48205765872554,nobias
128,0.0025,FEL1,10,1.40661463578065,0.368431897128645,2.12555361902353,2.60111837024639,nobias
128,0.0025,FEL1,11,1.69253066124079,0.289973821539641,2.69479212357865,4.54628514632058,nobias
128,0.0025,FEL1,12,1.27782535963267,0.429794664435911,2.02897609909751,2.42233055817412,nobias
128,0.0025,FEL1,13,3.17811722259933,0.284262681640028,3.86728003973464,5.04274520605877,nobias
128,0.0025,FEL1,14,1.34424405042058,0.343638414567882,2.49400750648363,4.48620925576806,nobias
128,0.0025,FEL1,15,2.02118126890498,0.473773489210166,2.87478844278081,3.90350495575988,nobias
128,0.0025,FEL1,16,1.09381948781113,0.456005595694798,1.81748153653158,2.01272134535674,nobias
128,0.0025,FEL1,17,0.590102443087746,0.258981664078643,1.28516162298673,1.37995343694729,nobias
128,0.0025,FEL1,18,0.688945750826461,0.280641547784558,1.46264677580046,1.75270620657549,nobias
128,0.0025,FEL1,19,3.52442610639907,0.298557270809773,4.85580439707898,11.236341591328,nobias
128,0.0025,FEL1,20,0.526901446488082,-0.0874634059559816,1.47657673198782,1.92343796202688,nobias
128,0.0025,FEL1,21,0.675016422523378,0.153676879302466,1.53840924506101,2.0376324976676,nobias
128,0.0025,FEL1,22,0.575614078738369,0.0919868899308935,1.32249341753067,1.49152114331635,nobias
128,0.0025,FEL1,23,0.857086200494115,0.110202757044171,1.37822925035682,1.2108390803352,nobias
128,0.0025,FEL1,24,0.873381878616755,0.269484669425014,1.43107554909949,1.3684574343761,nobias
128,0.0025,FEL1,25,1.0216708883047,0.205188732176822,1.84241897710141,2.49113196157497,nobias
128,0.0025,FEL1,26,0.976004391749526,0.436429988146665,1.58940014668157,1.5746420390847,nobias
128,0.0025,FEL1,27,1.16905491880261,0.403721596587676,2.01592370029875,2.64582197214238,nobias
128,0.0025,FEL1,28,0.887311399667665,0.373744455157294,1.59977187386173,1.81461452459473,nobias
128,0.0025,FEL1,29,1.17617084006765,0.0967616782292049,1.94497898087605,2.54532725970723,nobias
