ntaxa,bl,method,rep,estbias,r,rmsd,type
128,0.0025,FEL1,1,0.827760344969775,0.363946800653605,1.32645688870398,nobias
128,0.0025,FEL1,2,1.1999331692294,0.403481833884869,1.72268195393405,nobias
128,0.0025,FEL1,3,1.06203999814338,0.599546882663648,1.70243452021081,nobias
128,0.0025,FEL1,4,1.36760702946089,0.223406802907866,2.35017393283353,nobias
128,0.0025,FEL1,5,0.186784365082079,0.502012223942395,0.725623879075233,nobias
128,0.0025,FEL1,6,2.39895618843171,0.233942952329389,3.11570240749975,nobias
128,0.0025,FEL1,7,1.8378939120961,0.336809756488228,2.67651899763643,nobias
128,0.0025,FEL1,8,0.978161814389233,0.260066457583196,1.48982980393151,nobias
128,0.0025,FEL1,9,1.77773954117091,0.155470532423028,2.55993184730632,nobias
128,0.0025,FEL1,10,1.7271266312995,0.404067279683329,2.64848718166393,nobias
128,0.0025,FEL1,11,0.965652825410579,0.304277979125657,1.70040707912457,nobias
128,0.0025,FEL1,12,2.43330722961475,0.343872719065991,3.29105270494337,nobias
128,0.0025,FEL1,13,8.0702296632558,0.329613048142449,9.9302469208667,nobias
128,0.0025,FEL1,14,1.67231624737193,0.347321849795024,2.62380691666846,nobias
128,0.0025,FEL1,15,1.9959280074403,0.152307361873167,3.01401220888711,nobias
128,0.0025,FEL1,16,1.60378182516196,0.319616073504299,2.55362916071174,nobias
128,0.0025,FEL1,17,0.386128332130554,0.143193613218264,1.03583336423474,nobias
128,0.0025,FEL1,18,1.69763023085094,0.174549790167279,3.02248310815316,nobias
128,0.0025,FEL1,19,3.09692636027619,0.462004613927465,4.86133282532833,nobias
128,0.0025,FEL1,20,1.10556097641865,0.37835203283798,1.72270202945138,nobias
128,0.0025,FEL1,21,0.513174425159453,0.204292144025127,1.34398132156518,nobias
128,0.0025,FEL1,22,2.66257310911977,0.385109324199307,3.27788284029526,nobias
128,0.0025,FEL1,23,0.512691262591055,0.427726038601798,1.32208870394453,nobias
128,0.0025,FEL1,24,0.50851026431335,0.26521901094851,1.18668775732931,nobias
128,0.0025,FEL1,25,2.01345873151239,0.16236587246653,2.9932127318122,nobias
128,0.0025,FEL1,26,1.16229907290685,0.168203015384585,1.81628813460275,nobias
128,0.0025,FEL1,27,0.75044565173395,0.274522542226139,1.37992337776154,nobias
128,0.0025,FEL1,28,0.418429055437197,0.114441729328179,1.15459002428383,nobias
128,0.0025,FEL1,29,1.99037923424558,0.203536316279259,2.91140229091913,nobias
128,0.0025,FEL1,30,1.8944302768069,0.284078793025741,2.56293251207883,nobias
128,0.0025,FEL1,31,0.745307139291438,0.25047681804056,1.28683311726576,nobias
