site,dataset,rep,biastype,dn,ds
1,amine,10,bias,0.105014892937,0.853624585389,empirical
2,amine,10,bias,0.00441796437098,0.44086911237,empirical
3,amine,10,bias,0.0108464269793,0.628136268967,empirical
4,amine,10,bias,0.0712157104576,0.984568427676,empirical
5,amine,10,bias,0.00126822708491,0.245749401553,empirical
6,amine,10,bias,0.0127016376033,0.378066379695,empirical
7,amine,10,bias,0.00604250695522,0.852168657824,empirical
8,amine,10,bias,0.00571434020463,0.659656551215,empirical
9,amine,10,bias,0.0732477788122,0.864654499327,empirical
10,amine,10,bias,0.0885896373077,0.843003066808,empirical
11,amine,10,bias,0.01594092872,0.646191211774,empirical
12,amine,10,bias,0.178173110634,0.702246978413,empirical
13,amine,10,bias,0.0350449478874,0.981357143101,empirical
14,amine,10,bias,0.0823456244671,0.885749250064,empirical
15,amine,10,bias,0.0440713510336,0.895800581385,empirical
16,amine,10,bias,0.302019832856,0.561671962581,empirical
17,amine,10,bias,0.0657399402221,0.30636457852,empirical
18,amine,10,bias,0.0231343683635,0.797748078476,empirical
19,amine,10,bias,0.027368622644,0.952496587622,empirical
20,amine,10,bias,0.251719535863,0.770751281373,empirical
21,amine,10,bias,0.122162507664,0.565070777251,empirical
22,amine,10,bias,0.352503044691,0.795218640029,empirical
23,amine,10,bias,0.219402659419,0.674231192689,empirical
24,amine,10,bias,0.217467687578,0.671912949268,empirical
25,amine,10,bias,0.372801419211,0.843809264316,empirical
26,amine,10,bias,0.230921109811,0.727106108139,empirical
27,amine,10,bias,0.0226705569833,0.741916452894,empirical
28,amine,10,bias,0.125579202136,0.523737634375,empirical
29,amine,10,bias,0.0896779105242,0.712757661513,empirical
30,amine,10,bias,0.0766456145062,0.651532720532,empirical
31,amine,10,bias,0.299925272098,0.614762951212,empirical
32,amine,10,bias,0.0134509410379,0.650935277286,empirical
33,amine,10,bias,0.296777322365,0.815861567081,empirical
34,amine,10,bias,0.276769672287,0.803740721353,empirical
35,amine,10,bias,0.405059597126,0.672991745004,empirical
36,amine,10,bias,0.452225192476,0.907539759228,empirical
37,amine,10,bias,0.325734640757,0.681216186497,empirical
38,amine,10,bias,0.323058997105,0.775236729015,empirical
39,amine,10,bias,0.128807107935,0.481834093633,empirical
40,amine,10,bias,0.319437068921,0.668743573438,empirical
